Collection date,GISAID_ID,Originating lab,site
2/5/22,EPI_ISL_16672757,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771589,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771590,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771591,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_16672758,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771593,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771594,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771595,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771596,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771597,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771598,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771599,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771600,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_16672759,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771602,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771603,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771604,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771605,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_16672760,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_16672761,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771608,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771609,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771610,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771611,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771612,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771613,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/9/22,EPI_ISL_14771614,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771615,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771616,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771617,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771618,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771619,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771620,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771621,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771622,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771623,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771624,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771625,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771626,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771627,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771628,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771629,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771630,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771631,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_16672762,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771633,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771634,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/10/22,EPI_ISL_14771635,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/12/22,EPI_ISL_14771636,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/12/22,EPI_ISL_14771637,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/12/22,EPI_ISL_16672763,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_16672407,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/1/22,EPI_ISL_14771730,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/28/22,EPI_ISL_16672408,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/1/22,EPI_ISL_14771732,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_16672409,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_16672406,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771735,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_16672410,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/5/22,EPI_ISL_16672411,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/6/22,EPI_ISL_14771738,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/6/22,EPI_ISL_16672412,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/6/22,EPI_ISL_16672413,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/7/22,EPI_ISL_14771741,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/7/22,EPI_ISL_14771742,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771743,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_16672414,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/9/22,EPI_ISL_14771745,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/9/22,EPI_ISL_16672415,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/10/22,EPI_ISL_16672416,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/10/22,EPI_ISL_16672417,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/10/22,EPI_ISL_16672418,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/11/22,EPI_ISL_14771750,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/11/22,EPI_ISL_14771751,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/12/22,EPI_ISL_16672419,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/12/22,EPI_ISL_14771753,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771754,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771755,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771756,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771757,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771758,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_16672420,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/15/22,EPI_ISL_14771760,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/15/22,EPI_ISL_14771761,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/15/22,EPI_ISL_14771762,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/16/22,EPI_ISL_14771763,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/16/22,EPI_ISL_14771764,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/16/22,EPI_ISL_16672421,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/16/22,EPI_ISL_14771766,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/16/22,EPI_ISL_16672422,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/28/22,EPI_ISL_14771768,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/1/22,EPI_ISL_14771769,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/1/22,EPI_ISL_16673440,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/2/22,EPI_ISL_14771771,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/2/22,EPI_ISL_14771772,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/2/22,EPI_ISL_14771773,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/2/22,EPI_ISL_14771774,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/2/22,EPI_ISL_14771775,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_16673441,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/5/22,EPI_ISL_14771777,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771778,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771779,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771780,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771781,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771782,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771783,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771784,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/3/22,EPI_ISL_14771785,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771786,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_16673442,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_16673439,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771789,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_16673443,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771791,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771792,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771793,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771794,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/4/22,EPI_ISL_14771795,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/5/22,EPI_ISL_14771796,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/6/22,EPI_ISL_14771797,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/7/22,EPI_ISL_14771798,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/7/22,EPI_ISL_14771799,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771800,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771801,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771802,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771803,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771804,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/8/22,EPI_ISL_14771805,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/9/22,EPI_ISL_14771806,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/14/22,EPI_ISL_14771807,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/17/22,EPI_ISL_14771808,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/17/22,EPI_ISL_14771809,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/17/22,EPI_ISL_14771810,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/17/22,EPI_ISL_14771811,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/18/22,EPI_ISL_14771812,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/18/22,EPI_ISL_14771813,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/18/22,EPI_ISL_16672510,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/18/22,EPI_ISL_14771815,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/19/22,EPI_ISL_14771816,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/19/22,EPI_ISL_14771817,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/19/22,EPI_ISL_14771818,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/20/22,EPI_ISL_14771819,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/20/22,EPI_ISL_16672509,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771821,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771822,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771823,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771824,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771825,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771826,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/21/22,EPI_ISL_14771827,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/22/22,EPI_ISL_14771828,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/22/22,EPI_ISL_14771829,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/22/22,EPI_ISL_14771830,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/22/22,EPI_ISL_14771831,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771832,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771833,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771834,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771835,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771836,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/23/22,EPI_ISL_14771837,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/24/22,EPI_ISL_14771838,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/25/22,EPI_ISL_14771839,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/24/22,EPI_ISL_14771840,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/25/22,EPI_ISL_14771841,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/25/22,EPI_ISL_14771842,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/25/22,EPI_ISL_14771843,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/26/22,EPI_ISL_14771844,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
3/26/22,EPI_ISL_14771845,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
